Price,Close,High,Low,Open,Volume
Ticker,SMI,SMI,SMI,SMI,SMI
Date,,,,,
2022-10-18,41.29151153564453,41.29151153564453,41.29151153564453,41.29151153564453,5
2022-10-19,41.15107345581055,41.15107345581055,41.15107345581055,41.15107345581055,2
2022-10-20,41.0528678894043,41.0528678894043,41.0528678894043,41.0528678894043,42
2022-10-21,40.82509231567383,40.82509231567383,40.82509231567383,40.82509231567383,2
2022-10-24,40.575496673583984,40.575496673583984,40.575496673583984,40.575496673583984,4
2022-10-25,40.58934783935547,40.58934783935547,40.58934783935547,40.58934783935547,3
2022-10-26,40.61396789550781,40.61396789550781,40.61396789550781,40.61396789550781,1
2022-10-27,40.60554122924805,40.60554122924805,40.60554122924805,40.60554122924805,2
2022-10-28,40.596370697021484,40.596370697021484,40.596370697021484,40.596370697021484,10
2022-10-31,40.570068359375,40.570068359375,40.564918465395365,40.564918465395365,1399
2022-11-01,40.722206115722656,40.78192738547578,40.68817725880302,40.78192738547578,625
2022-11-02,40.797027587890625,40.797027587890625,40.797027587890625,40.797027587890625,10
2022-11-03,40.73506546020508,40.74443904536033,40.72568829871058,40.72568829871058,1277
2022-11-04,40.738807678222656,40.772561163202255,40.738807678222656,40.772561163202255,401
2022-11-07,40.70412063598633,40.73393299558282,40.70412063598633,40.73393299558282,301
2022-11-08,40.84690856933594,40.8475630393641,40.82871930942764,40.83818945497172,6961
2022-11-09,40.899131774902344,40.922571103303376,40.898663274441475,40.922571103303376,579
2022-11-10,41.45161056518555,41.45161056518555,41.35382986432591,41.35382986432591,11761
2022-11-11,41.47568893432617,41.47568893432617,41.47568893432617,41.47568893432617,7
2022-11-14,41.39226531982422,41.46567326095002,41.39132831891927,41.39226531982422,2870
2022-11-15,41.5694465637207,41.57094504959477,41.54647574088269,41.54647574088269,1674
2022-11-16,41.83306884765625,41.83306884765625,41.75694291786025,41.75694291786025,11234
2022-11-17,41.9210205078125,41.92570908834038,41.8319553594781,41.8319553594781,639
2022-11-18,41.9210205078125,41.9210205078125,41.91633192728462,41.91633192728462,103
2022-11-21,41.93536376953125,41.93536376953125,41.93536376953125,41.93536376953125,100
2022-11-22,42.02884292602539,42.036245949060685,42.011497678817086,42.02780936387215,1473
2022-11-23,42.157833099365234,42.157833099365234,42.157833099365234,42.157833099365234,10
2022-11-25,42.17087936401367,42.17087936401367,42.17087936401367,42.17087936401367,1
2022-11-28,42.202266693115234,42.202266693115234,42.18820453048588,42.18820453048588,2082
2022-11-29,42.30540084838867,42.337276757809256,42.21633570217411,42.21633570217411,10899
2022-11-30,42.464786529541016,42.488225860643325,42.44144375961352,42.44144375961352,2919
2022-12-01,42.5792121887207,42.58859756456649,42.5417566254445,42.5417566254445,2128
2022-12-02,42.60418701171875,42.60418701171875,42.485346151431685,42.485346151431685,4303
2022-12-05,42.56137466430664,42.58859619230388,42.56137466430664,42.58859619230388,2586
2022-12-06,42.612064361572266,42.63552959049665,42.612064361572266,42.63552959049665,970
2022-12-07,42.73877716064453,42.73877716064453,42.73877716064453,42.73877716064453,8
